Gruppe Beskrivelse,Gruppe,Uddannelseskategori,Personer,År Tab35_36,Inddeling,Bydel,Herkomst,Køn
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,67,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,81,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,32,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,20,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,17,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,21,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,8,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,3,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,14,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,9,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,6,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,6,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,6,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,22,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,16,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,19,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,10,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,8,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Grundskole mv.,638,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Grundskole mv.,318,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Almen gymnasial,317,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Almen gymnasial,239,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsgymnasial,127,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsgymnasial,67,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsfaglig,1063,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsfaglig,716,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Kort videregående,261,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Kort videregående,203,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Mellemlang videregående,544,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Mellemlang videregående,861,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Bachelor,255,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Bachelor,260,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Lang videregående,1091,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Lang videregående,1200,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Grundskole mv.,632,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Grundskole mv.,637,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Almen gymnasial,69,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Almen gymnasial,84,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsgymnasial,7,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsgymnasial,5,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsfaglig,90,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsfaglig,136,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Kort videregående,36,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Kort videregående,40,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Mellemlang videregående,67,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Mellemlang videregående,86,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Bachelor,33,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Bachelor,46,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Lang videregående,147,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Lang videregående,150,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Grundskole mv.,45,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Grundskole mv.,22,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Almen gymnasial,5,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Almen gymnasial,6,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsgymnasial,5,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsgymnasial,3,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsfaglig,21,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Erhvervsfaglig,28,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Kort videregående,5,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Kort videregående,2,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Mellemlang videregående,8,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Mellemlang videregående,18,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Bachelor,6,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Bachelor,8,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Lang videregående,17,2014,Bydele,Amager Øst,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,30-39 år,Lang videregående,15,2014,Bydele,Amager Øst,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,1246,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,939,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,328,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,232,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsgymnasial,79,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsgymnasial,85,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,1786,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,1379,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Kort videregående,237,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Kort videregående,184,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,569,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,939,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,125,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,137,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,737,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,635,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,501,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,428,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,116,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,77,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsgymnasial,4,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,246,2014,Bydele,Amager Øst,Indvandrere,Mænd
