Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Østerbro,Mænd,30-64 ,1108,150.000-199.999 kr.,4
Østerbro,Mænd,30-64 ,2029,200.000-299.999 kr.,5
Østerbro,Mænd,30-64 ,2922,300.000-399.999 kr.,6
Østerbro,Mænd,30-64 ,2861,400.000-499.999 kr.,7
Østerbro,Mænd,30-64 ,1941,500.000-599.999 kr.,8
Østerbro,Mænd,30-64 ,1109,600.000-699.999 kr.,9
Østerbro,Mænd,30-64 ,2224,700.000 kr. og derover,10
Østerbro,Mænd,65 og derover,45,-49.999 kr.,1
Østerbro,Mænd,65 og derover,91,50.000-99.999 kr.,2
Østerbro,Mænd,65 og derover,543,100.000-149.999 kr.,3
Østerbro,Mænd,65 og derover,1046,150.000-199.999 kr.,4
Østerbro,Mænd,65 og derover,748,200.000-299.999 kr.,5
Østerbro,Mænd,65 og derover,468,300.000-399.999 kr.,6
Østerbro,Mænd,65 og derover,264,400.000-499.999 kr.,7
Østerbro,Mænd,65 og derover,155,500.000-599.999 kr.,8
Østerbro,Mænd,65 og derover,74,600.000-699.999 kr.,9
Østerbro,Mænd,65 og derover,191,700.000 kr. og derover,10
Østerbro,Kvinder,15-19 ,1178,-49.999 kr.,1
Østerbro,Kvinder,15-19 ,209,50.000-99.999 kr.,2
Østerbro,Kvinder,15-19 ,76,100.000-149.999 kr.,3
Østerbro,Kvinder,15-19 ,16,150.000-199.999 kr.,4
Østerbro,Kvinder,15-19 ,8,200.000-299.999 kr.,5
Østerbro,Kvinder,20-29 ,676,-49.999 kr.,1
Østerbro,Kvinder,20-29 ,1388,50.000-99.999 kr.,2
Østerbro,Kvinder,20-29 ,1952,100.000-149.999 kr.,3
Østerbro,Kvinder,20-29 ,1696,150.000-199.999 kr.,4
Østerbro,Kvinder,20-29 ,1400,200.000-299.999 kr.,5
Østerbro,Kvinder,20-29 ,1003,300.000-399.999 kr.,6
Østerbro,Kvinder,20-29 ,383,400.000-499.999 kr.,7
Østerbro,Kvinder,20-29 ,117,500.000-599.999 kr.,8
Østerbro,Kvinder,20-29 ,41,600.000-699.999 kr.,9
Østerbro,Kvinder,20-29 ,17,700.000 kr. og derover,10
Østerbro,Kvinder,30-64 ,1021,-49.999 kr.,1
Østerbro,Kvinder,30-64 ,453,50.000-99.999 kr.,2
Østerbro,Kvinder,30-64 ,984,100.000-149.999 kr.,3
Østerbro,Kvinder,30-64 ,1295,150.000-199.999 kr.,4
Østerbro,Kvinder,30-64 ,2829,200.000-299.999 kr.,5
Østerbro,Kvinder,30-64 ,4276,300.000-399.999 kr.,6
Østerbro,Kvinder,30-64 ,3364,400.000-499.999 kr.,7
Østerbro,Kvinder,30-64 ,1514,500.000-599.999 kr.,8
Østerbro,Kvinder,30-64 ,660,600.000-699.999 kr.,9
Østerbro,Kvinder,30-64 ,832,700.000 kr. og derover,10
Østerbro,Kvinder,65 og derover,58,-49.999 kr.,1
Østerbro,Kvinder,65 og derover,168,50.000-99.999 kr.,2
Østerbro,Kvinder,65 og derover,705,100.000-149.999 kr.,3
Østerbro,Kvinder,65 og derover,1898,150.000-199.999 kr.,4
Østerbro,Kvinder,65 og derover,1397,200.000-299.999 kr.,5
Østerbro,Kvinder,65 og derover,604,300.000-399.999 kr.,6
Østerbro,Kvinder,65 og derover,261,400.000-499.999 kr.,7
Østerbro,Kvinder,65 og derover,98,500.000-599.999 kr.,8
Østerbro,Kvinder,65 og derover,52,600.000-699.999 kr.,9
Østerbro,Kvinder,65 og derover,71,700.000 kr. og derover,10
Nørrebro,Mænd,15-19 ,1114,-49.999 kr.,1
Nørrebro,Mænd,15-19 ,154,50.000-99.999 kr.,2
Nørrebro,Mænd,15-19 ,63,100.000-149.999 kr.,3
Nørrebro,Mænd,15-19 ,20,150.000-199.999 kr.,4
Nørrebro,Mænd,15-19 ,7,200.000-299.999 kr.,5
Nørrebro,Mænd,20-29 ,896,-49.999 kr.,1
Nørrebro,Mænd,20-29 ,2293,50.000-99.999 kr.,2
Nørrebro,Mænd,20-29 ,2448,100.000-149.999 kr.,3
Nørrebro,Mænd,20-29 ,1920,150.000-199.999 kr.,4
Nørrebro,Mænd,20-29 ,1835,200.000-299.999 kr.,5
Nørrebro,Mænd,20-29 ,1192,300.000-399.999 kr.,6
Nørrebro,Mænd,20-29 ,468,400.000-499.999 kr.,7
Nørrebro,Mænd,20-29 ,132,500.000-599.999 kr.,8
Nørrebro,Mænd,20-29 ,41,600.000-699.999 kr.,9
Nørrebro,Mænd,20-29 ,42,700.000 kr. og derover,10
Nørrebro,Mænd,30-64 ,959,-49.999 kr.,1
Nørrebro,Mænd,30-64 ,621,50.000-99.999 kr.,2
Nørrebro,Mænd,30-64 ,1768,100.000-149.999 kr.,3
Nørrebro,Mænd,30-64 ,2081,150.000-199.999 kr.,4
Nørrebro,Mænd,30-64 ,2716,200.000-299.999 kr.,5
Nørrebro,Mænd,30-64 ,3471,300.000-399.999 kr.,6
Nørrebro,Mænd,30-64 ,2636,400.000-499.999 kr.,7
